;foto;localizacao;nome
113;./Mulheres Palestrantes_files/AAEAAQAAAAAAAA03AAAAJDViNGYwODRlLWM3MWEtNDRiNi05Y2MxLTdmNDZmYjQ4Mzg3MQ.jpg;Jundiaí/SP;Elis Forgerini
114;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Elizabeth Regina Tscha
115;./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAvQAAAAJDQ3M2Q1NDI5LTM2N2UtNDJiMi04NzQ4LWUwZTU3OTM0NWQ1MA.jpg;Recife/PE;Eluana Sievert Cardoso
116;./Mulheres Palestrantes_files/0c019979ee02a71763ea2e44dd91e0bb.jpeg;Curitiba/PR;Emanuelle Menali
117;./Mulheres Palestrantes_files/cd920d13e1da5783e99a4372bc0f9fd2;Santa Luzia/MG;Emmanuelle Richard
118;./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA8gAAAAJDIwNGYxNzVkLTMyOTctNGY5ZS1hNjgyLTM4YzI3MDVhYjllZA.jpg;Natal/RN;Erica Ariano
119;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAVEAAAAJDNhZWIxNTYyLTgzMjYtNDc2ZS04MmE0LTA3NjVhYTE4MDc3NA.jpg;Santo André/SP;Érica Calil Nogueira
120;./Mulheres Palestrantes_files/0b61b5ff9300a85587390e168845cbd4.jpeg;Rio de Janeiro/RJ;Erica Marques
121;./Mulheres Palestrantes_files/82a915535fb89f078db00ec645e05cc9;Curitiba/PR;Érica Viana
122;./Mulheres Palestrantes_files/0aaf2fe.jpg;Belo Horizonte/MG;Erika Laíse
123;./Mulheres Palestrantes_files/AAEAAQAAAAAAAApsAAAAJDEyY2RjNjMxLTFjMmMtNDMwYS1iMTU2LWEzNzQ3MzFmMGRlYw.jpg;Belo Horizonte/MG;Estela Rocha
124;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAt8AAAAJGQ5MWY2OTkxLTczMDUtNDUyMi04OGM3LTBlZGY1ZTFmOGU3Yw.jpg;Porto Alegre/RS;Etienne Du Jardin
125;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Fabiana Rocha Batista
126;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Fabiany Lima
127;./Mulheres Palestrantes_files/393a8afb36c128e762e5130549d22dbe.jpeg;São Paulo/SP;Fernanda Bernardo
128;./Mulheres Palestrantes_files/0f196a83d85a2c66c3eb8678b3d96e7a.jpeg;São Paulo/SP;Fernanda Campagnucci
129;./Mulheres Palestrantes_files/29c9108ca9fd4485e8b00858892bd0a5.jpeg;São Paulo/SP;Fernanda Lobato
130;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Fernanda Mano
131;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAuTAAAAJDAxMWM0MjExLWZkNmEtNDZkOC05YzAwLWM0ZmY5ODhhMmQ1NQ.jpg;Rio de Janeiro/RJ;Fernanda Nascimento
132;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Fernanda Nogueira
133;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Fernanda Trindade Monteiro
134;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAnfAAAAJGZlNjI4MTM2LWM1YjQtNGExNy04NGFjLTBlNzM5ZWU1ZDc1Mg.jpg;São Paulo/SP;Flávia Dias Fortes
135;./Mulheres Palestrantes_files/1158ea2d0be5632609d067d2ebebacb9.jpeg;São Paulo/SP;Francieli Viane
136;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAoYAAAAJDdiMTQxNzA0LWFmOTgtNDEwOC05OTVhLThkMzNhMmNkZTVhMQ.jpg;Belo Horizonte/MG;Francine Micheli
137;./Mulheres Palestrantes_files/aa602dcc4ba2afe200d65b808f3d713f;Ribeirão Preto/SP;Gabriela Galves Nunes
138;./Mulheres Palestrantes_files/5049246;Curitiba/PR;Geisa Santos
139;./Mulheres Palestrantes_files/placeholder-female.jpg;Salvador/BA;Germanda Uchoa
140;./Mulheres Palestrantes_files/14f078115953cf2ea31d9891ac083eeb.jpeg;Recife/PE;Giana de Almeida Pereira
141;./Mulheres Palestrantes_files/568119.53d90b133af39.jpg;Florianópolis/SC;Gica Trierweiler Yabu
142;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Gina Gotthilf
143;./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA0uAAAAJGNiMTU2YWVmLWVhZDEtNGJiMC04MDM2LTdkOWI4OGU5ZWEwNA.jpg;São Paulo/SP;Giovana Penatti
144;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Gisele Késsia Gusmão Bizerril Gelschleiter
145;./Mulheres Palestrantes_files/41052_1241696062527_7336928_n.jpg;Aracaju/SE;Gisleine Silveira
146;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAXIAAAAJDVkZDE0YTVkLTkxNmYtNDRjZC04OTljLTNhOWQ5OThjYjNmMA.jpg;Montreal/Canadá;Grazielle Mendes Rangel
147;./Mulheres Palestrantes_files/AAMAAQDGAAwAAQAAAAAAAAvyAAAAJGU2Zjg1NzU1LTY4MjMtNDI4NS04MTlhLTJhOTJmNzc0MmJmZg.jpg;Belo Horizonte/MG;Halina Medina
148;./Mulheres Palestrantes_files/92f91622d6f40aee53dae82376a1b725;São Paulo/SP;Hanna Pereira
149;./Mulheres Palestrantes_files/96b81d9c691891f599a9c35dcbb412f0.png;São Vicente/SP;Haydée Svab
150;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Helena Margarido
151;./Mulheres Palestrantes_files/placeholder-female.jpg;São Paulo/SP;Hendy Almeida
152;./Mulheres Palestrantes_files/a3a83c902112cedccc0e071147027a72.jpeg;São Paulo/SP;Hevlin Costa
153;./Mulheres Palestrantes_files/AAMAAQDGAAwAAQAAAAAAAA6mAAAAJDY5ZmJlZWVhLTRmMWUtNGFjNS1iMTljLWMxYTE4OGYzM2ZmNQ.jpg;Jundiaí/SP;Iaci Gomes
154;./Mulheres Palestrantes_files/4542747;Belém/PA;Isabella Silveira
155;./Mulheres Palestrantes_files/018be55.jpg;Rio de Janeiro/RJ;Ingrid Mantonavi
156;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAg_AAAAJGYyMmM0NzM1LTEyZGYtNDFkMC04MmMwLTI5NTE5ZmM5OWQxMw.jpg;São Paulo/SP;Ivanise Gomes
157;./Mulheres Palestrantes_files/b58009e9c7a0dee56bfb552e58f69ca8.jpeg;Campinas/SP;Izadora Ribeiro Perkoski
158;./Mulheres Palestrantes_files/AAMAAgDGAAwAAQAAAAAAAA5AAAAAJDRkZWIyZTA3LTg3ZTctNGNiZi04ODhlLTY2NGZiYTdjYjNhMQ.jpg;São Paulo/SP;Izza Simões
159;./Mulheres Palestrantes_files/24320336;João Pessoa/PB;Jacqueline Yumi Asano
160;./Mulheres Palestrantes_files/AAEAAQAAAAAAAAvoAAAAJDgxMDczMjgwLWUwOTYtNDI1MS1hYzRlLThlYjU1ZTM5NTMzMg.jpg;Florianópolis/SC;Janine Saponara
161;./Mulheres Palestrantes_files/AAMABADGAAwAAQAAAAAAAAoJAAAAJDEzNTE5YjY4LTBhMzEtNDcyNC04YWIwLTgxNTU2NDdkYWQ0Yg.jpg;São Paulo/SP;Janynne Gomes
162;./Mulheres Palestrantes_files/4261484;Governador Valadares/MG;Jeliel Mendes
163;./Mulheres Palestrantes_files/placeholder-female.jpg;Porto Alegre/RS;Jennifer Payne
164;./Mulheres Palestrantes_files/35beca46843e4adcbd43df1bc93ce38b.jpeg;Blumenau/SC;Jessica Temporal
165;./Mulheres Palestrantes_files/placeholder-female.jpg;Osasco/SP;Jessilanny Nóbrega
166;./Mulheres Palestrantes_files/placeholder-female.jpg;Campina Grande/PB;Josilene Santana
167;./Mulheres Palestrantes_files/2b1269b.jpg;Recife/PE;Joviane Jardim
168;./Mulheres Palestrantes_files/0b8df4309d2e40efce1208242c35a058;São Paulo/SP;Juciellen Cabrera
